date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:54	308/308	---MCZ	200	added ('OK')	text/plain	etag:W/%22216-Z5c6CyvmjuRkP5Nr4w5vIjEeLx8%22	https://www.sfhscodehack.com/robots.txt		(from )
19:09:55	627785/627785	---MCZ	200	added ('OK')	text/html	etag:W/%224e94641b2e50822938232923bd7e1e0b%22	https://www.sfhscodehack.com/	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/www.sfhscodehack.com/index.html	(from )
19:09:56	13867/13867	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2013:39:57%20GMT	https://static.wixstatic.com/media/a31f08_c8d081d58fa34f539809c6f74ccddbde~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/a31f08_c8d081d58fa34f539809c6f74ccddbde~mv2.jpg	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/static.wixstatic.com/media/a31f08_c8d081d58fa34f539809c6f74ccddbde_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/a31f08_c8d081d58fa34f539809c6f74ccddbde_mv2.jpg	(from https://www.sfhscodehack.com/)
19:09:56	1416/1416	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2013:39:58%20GMT	https://static.wixstatic.com/media/a31f08_c8d081d58fa34f539809c6f74ccddbde~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/a31f08_c8d081d58fa34f539809c6f74ccddbde~mv2.jpg	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/static.wixstatic.com/media/a31f08_c8d081d58fa34f539809c6f74ccddbde_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/a31f08_c8d081d58fa34f539809c6f74ccddbde_mv2.jpg	(from https://www.sfhscodehack.com/)
19:09:57	12554/12554	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2013:39:58%20GMT	https://static.wixstatic.com/media/a31f08_c8d081d58fa34f539809c6f74ccddbde~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/a31f08_c8d081d58fa34f539809c6f74ccddbde~mv2.jpg	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/static.wixstatic.com/media/a31f08_c8d081d58fa34f539809c6f74ccddbde_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/a31f08_c8d081d58fa34f539809c6f74ccddbde_mv2.jpg	(from https://www.sfhscodehack.com/)
19:09:57	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.sfhscodehack.com/)
19:09:57	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.sfhscodehack.com/)
19:09:58	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2024%20Oct%202024%2013:39:59%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://www.sfhscodehack.com/)
19:09:59	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2013:40:00%20GMT	https://www.sfhscodehack.com/c	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/www.sfhscodehack.com/c.6.delayed	(from https://www.sfhscodehack.com/)
19:09:59	2961/2961	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2013:40:01%20GMT	https://www.sfhscodehack.com/t	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/www.sfhscodehack.com/t.7.delayed	(from https://www.sfhscodehack.com/)
19:10:03	567847/567847	---MCZ	200	added ('OK')	text/html	etag:W/%229b7975993a43da7e34ecd0e79c40569a%22	https://www.sfhscodehack.com/aboutus	C:/Users/yashk/OneDrive/Desktop/Hackathon/Sfhs/www.sfhscodehack.com/aboutus.html	(from https://www.sfhscodehack.com/)
